dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
clinc150,13,val,accept_reservations,False,20,2,18,4,0.9999788916540666
clinc150,13,val,account_blocked,False,20,0,20,1,1.1496461806532698
clinc150,13,val,alarm,False,20,0,20,3,0.9573078130061126
clinc150,13,val,application_status,True,20,20,0,1,0.5843939105159649
clinc150,13,val,apr,False,20,0,20,0,1.1422597373612264
clinc150,13,val,are_you_a_bot,False,20,0,20,0,1.0799757297613768
clinc150,13,val,balance,True,20,17,3,5,0.7950853950442844
clinc150,13,val,bill_balance,True,20,12,8,2,0.8563531856097673
clinc150,13,val,bill_due,True,20,20,0,1,0.6817044289925884
clinc150,13,val,book_flight,False,20,2,18,4,0.9666453738248323
clinc150,13,val,book_hotel,False,20,5,15,5,0.9931161345653609
clinc150,13,val,calculator,False,20,0,20,0,1.1616553545695285
clinc150,13,val,calendar,False,20,4,16,4,0.9748670771660177
clinc150,13,val,calendar_update,True,20,20,0,1,0.7269854668618021
clinc150,13,val,calories,False,20,0,20,0,1.2590400799258021
clinc150,13,val,cancel,False,20,0,20,1,1.1152272898917568
clinc150,13,val,cancel_reservation,False,20,0,20,4,0.9843137897016154
clinc150,13,val,car_rental,True,20,20,0,0,0.7784508562362098
clinc150,13,val,card_declined,True,20,20,0,0,0.6875559816878007
clinc150,13,val,carry_on,False,20,0,20,0,1.181508676825703
clinc150,13,val,change_accent,True,20,14,6,0,0.7228435051528661
clinc150,13,val,change_ai_name,False,20,18,2,5,0.8086789358291553
clinc150,13,val,change_language,False,20,0,20,7,0.9685097126618529
clinc150,13,val,change_speed,False,20,0,20,0,1.105353500607118
clinc150,13,val,change_user_name,True,20,14,6,5,0.8305313291462151
clinc150,13,val,change_volume,True,20,19,1,0,0.5991043630507447
clinc150,13,val,confirm_reservation,True,20,18,2,3,0.7944660221218767
clinc150,13,val,cook_time,False,20,0,20,0,1.21307115200472
clinc150,13,val,credit_limit,False,20,3,17,6,0.9817756023551254
clinc150,13,val,credit_limit_change,True,20,20,0,0,0.639844974222223
clinc150,13,val,credit_score,False,20,0,20,0,1.1984798695350274
clinc150,13,val,current_location,False,20,1,19,1,1.0406733038226452
clinc150,13,val,damaged_card,True,20,19,1,3,0.7896647695270972
clinc150,13,val,date,True,20,19,1,1,0.6686687130956297
clinc150,13,val,definition,True,20,10,10,10,0.9030994949218354
clinc150,13,val,direct_deposit,False,20,0,20,2,1.255607641675628
clinc150,13,val,directions,False,20,0,20,2,1.0513309886895894
clinc150,13,val,distance,True,20,19,1,2,0.7722684749234491
clinc150,13,val,do_you_have_pets,False,20,0,20,0,1.165694838104732
clinc150,13,val,exchange_rate,False,20,0,20,0,1.1910353882444509
clinc150,13,val,expiration_date,False,20,3,17,4,1.0947565773770218
clinc150,13,val,find_phone,True,20,18,2,1,0.6261244919955842
clinc150,13,val,flight_status,False,20,4,16,6,0.9711712839680734
clinc150,13,val,flip_coin,True,20,20,0,1,0.5808716721320102
clinc150,13,val,food_last,True,20,11,9,4,0.8206210615901443
clinc150,13,val,freeze_account,True,20,17,3,5,0.8212404870393188
clinc150,13,val,fun_fact,False,20,0,20,0,1.126538184810284
clinc150,13,val,gas,True,20,18,2,0,0.7251203109137084
clinc150,13,val,gas_type,True,20,19,1,1,0.5848969980522847
clinc150,13,val,goodbye,False,20,2,18,4,0.9820961097785015
clinc150,13,val,greeting,True,20,17,3,1,0.7342338692295594
clinc150,13,val,how_busy,True,20,19,1,4,0.8066448149796066
